lag_1,lag_2,lag_3,return_1d,ma_5,ma_10,target
119.3,118.69,118.69,0.00176026823134956,119.00399999999999,118.99449999999999,1
119.51,119.3,118.69,0.0066103254957743385,119.298,119.13499999999999,0
120.3,119.51,119.3,0.0,119.62,119.26699999999998,1
120.3,120.3,119.51,0.0009975062344140806,119.96600000000001,119.421,1
120.42,120.3,120.3,0.0030725793057631012,120.26400000000001,119.61699999999999,0
120.79,120.42,120.3,-0.00140740127493999,120.48600000000002,119.745,1
120.62,120.79,120.42,0.005305919416348948,120.678,119.98800000000001,0
121.26,120.62,120.79,-0.0004123371268349718,120.85999999999999,120.24000000000001,1
121.21,121.26,120.62,0.003382559194786028,121.1,120.53299999999999,1
121.62,121.21,121.26,0.0004933399111988201,121.27799999999999,120.771,0
121.68,121.62,121.21,-0.0065746219592374144,121.33,120.90799999999999,1
120.88,121.68,121.62,0.006121773659828023,121.402,121.04,0
